StudyCode,orien1,orien2,orien3,orien4,orien5,orien6
PS15_109,1,0,0,0,1,0
PS15_096,1,0,0,0,1,0
PS15_124,1,0,0,0,1,0
PS15_098,1,0,0,0,1,0
PS15_097,1,0,0,0,1,0
PS15_119,1,0,0,0,1,0
PS15_107,1,0,0,0,1,0
PS15_104,1,0,0,0,1,0
PS15_105,1,0,0,0,1,0
PS15_108,1,0,0,0,1,0
PS15_106,1,0,0,0,1,0
PS15_121,1,0,0,0,1,0
PS15_110,1,0,0,0,1,0
PS15_131,1,0,0,0,1,0
PS15_116,1,0,0,0,1,0
PS15_120,1,0,0,0,1,0
PS15_127,1,0,0,0,1,0
PS15_114,1,0,0,0,1,0
PS15_112,1,0,0,0,1,0
PS15_128,1,0,0,0,1,0
PS15_115,1,0,0,0,1,0
PS15_138,1,0,0,0,1,0
PS15_139,1,0,0,0,1,0
PS15_140,1,0,0,0,1,0
PS15_126,1,0,0,0,1,0
CL_DEV_007,1,0,0,0,1,0
PS15_118,1,0,0,0,1,0
PS15_146,1,0,0,0,1,0
PS15_129,1,0,0,0,1,0
PS15_147,1,0,0,0,1,0
PS15_136,1,0,0,0,1,0
PS15_125,1,0,0,0,1,0
PS15_113,1,0,0,0,1,0
PS15_144,1,0,0,0,1,0
PS16_001,1,0,0,0,1,0
PS16_012,1,0,0,0,1,0
PS16_009,1,0,0,0,1,0
PS16_004,1,0,0,0,1,0
PS16_006,1,0,0,0,1,0
PS16_010,1,0,0,0,1,0
PS16_011,1,0,0,0,1,0
CL_DEV_008,1,0,0,0,1,0
PS16_019,1,0,0,0,1,0
PS16_005,1,0,0,0,1,0
PS16_023,1,0,0,0,1,0
PS16_013,1,0,0,0,1,0
PS16_008,1,0,0,0,1,0
PS16_024,1,0,0,0,1,0
PS16_020,1,0,0,0,1,0
PS16_014,1,0,0,0,1,0
PS16_021,1,0,0,0,1,0
PS16_003,1,0,0,0,1,0
PS1064101,1,0,0,0,1,0
PS16_022,1,0,0,0,1,0
PS16_025,1,0,0,0,1,0
PS16_018,1,0,0,0,1,0
PS0969101,1,0,0,0,1,0
PS1120101,1,0,0,0,1,0
PS0935101,1,0,0,0,1,0
PS16_041,1,0,0,0,1,0
PS16_016,1,0,0,0,1,0
PS16_039,1,0,0,0,1,0
PS1168101,1,0,0,0,1,0
PS16_038,1,0,0,0,1,0
PS16_044,1,0,0,0,1,0
